municipality_name,municipality_code,municipality_name_machine_friendly,region_id,region_name
Aa en Hunze,GM1680,AaenHunze,RE01,Noord-Nederland
Aalsmeer,GM0358,Aalsmeer,RE05,Amsterdam
Aalten,GM0197,Aalten,RE02,Oost-Nederland
Achtkarspelen,GM0059,Achtkarspelen,RE01,Noord-Nederland
Alblasserdam,GM0482,Alblasserdam,RE07,Rotterdam
Albrandswaard,GM0613,Albrandswaard,RE07,Rotterdam
Alkmaar,GM0361,Alkmaar,RE04,Noord-Holland
Almelo,GM0141,Almelo,RE02,Oost-Nederland
Almere,GM0034,Almere,RE03,Midden-Nederland
Alphen aan den Rijn,GM0484,AlphenaandenRijn,RE06,DenHaag
Alphen-Chaam,GM1723,Alphen-Chaam,RE08,Zeeland-West-Brabant
Altena,GM1959,Altena,RE08,Zeeland-West-Brabant
Ameland,GM0060,Ameland,RE01,Noord-Nederland
Amersfoort,GM0307,Amersfoort,RE03,Midden-Nederland
Amstelveen,GM0362,Amstelveen,RE05,Amsterdam
Amsterdam,GM0363,Amsterdam,RE05,Amsterdam
Apeldoorn,GM0200,Apeldoorn,RE02,Oost-Nederland
Arnhem,GM0202,Arnhem,RE02,Oost-Nederland
Assen,GM0106,Assen,RE01,Noord-Nederland
Asten,GM0743,Asten,RE09,Oost-Brabant
Baarle-Nassau,GM0744,Baarle-Nassau,RE08,Zeeland-West-Brabant
Baarn,GM0308,Baarn,RE03,Midden-Nederland
Barendrecht,GM0489,Barendrecht,RE07,Rotterdam
Barneveld,GM0203,Barneveld,RE02,Oost-Nederland
Beek (L.),GM0888,Beek,RE10,Limburg
Beekdaelen,GM1954,Beekdaelen,RE10,Limburg
Beemster,GM0370,Beemster,RE04,Noord-Holland
Beesel,GM0889,Beesel,RE10,Limburg
Berg en Dal,GM1945,BergenDal,RE02,Oost-Nederland
Bergeijk,GM1724,Bergeijk,RE09,Oost-Brabant
Bergen (L.),GM0893,Bergen(L.),RE10,Limburg
Bergen (NH.),GM0373,Bergen(NH.),RE04,Noord-Holland
Bergen op Zoom,GM0748,BergenopZoom,RE08,Zeeland-West-Brabant
Berkelland,GM1859,Berkelland,RE02,Oost-Nederland
Bernheze,GM1721,Bernheze,RE09,Oost-Brabant
Best,GM0753,Best,RE09,Oost-Brabant
Beuningen,GM0209,Beuningen,RE02,Oost-Nederland
Beverwijk,GM0375,Beverwijk,RE04,Noord-Holland
De Bilt,GM0310,DeBilt,RE03,Midden-Nederland
Bladel,GM1728,Bladel,RE09,Oost-Brabant
Blaricum,GM0376,Blaricum,RE03,Midden-Nederland
Bloemendaal,GM0377,Bloemendaal,RE04,Noord-Holland
Bodegraven-Reeuwijk,GM1901,Bodegraven-Reeuwijk,RE06,DenHaag
Boekel,GM0755,Boekel,RE09,Oost-Brabant
Borger-Odoorn,GM1681,Borger-Odoorn,RE01,Noord-Nederland
Borne,GM0147,Borne,RE02,Oost-Nederland
Borsele,GM0654,Borsele,RE08,Zeeland-West-Brabant
Boxmeer,GM0756,Boxmeer,RE09,Oost-Brabant
Boxtel,GM0757,Boxtel,RE09,Oost-Brabant
Breda,GM0758,Breda,RE08,Zeeland-West-Brabant
Brielle,GM0501,Brielle,RE07,Rotterdam
Bronckhorst,GM1876,Bronckhorst,RE02,Oost-Nederland
Brummen,GM0213,Brummen,RE02,Oost-Nederland
Brunssum,GM0899,Brunssum,RE10,Limburg
Bunnik,GM0312,Bunnik,RE03,Midden-Nederland
Bunschoten,GM0313,Bunschoten,RE03,Midden-Nederland
Buren,GM0214,Buren,RE02,Oost-Nederland
Capelle aan den IJssel,GM0502,CapelleaandenIJssel,RE07,Rotterdam
Castricum,GM0383,Castricum,RE04,Noord-Holland
Coevorden,GM0109,Coevorden,RE01,Noord-Nederland
Cranendonck,GM1706,Cranendonck,RE09,Oost-Brabant
Cuijk,GM1684,Cuijk,RE09,Oost-Brabant
Culemborg,GM0216,Culemborg,RE02,Oost-Nederland
Dalfsen,GM0148,Dalfsen,RE02,Oost-Nederland
Dantumadiel,GM1891,Dantumadiel,RE01,Noord-Nederland
Delft,GM0503,Delft,RE06,DenHaag
Deurne,GM0762,Deurne,RE09,Oost-Brabant
Deventer,GM0150,Deventer,RE02,Oost-Nederland
Diemen,GM0384,Diemen,RE05,Amsterdam
Dinkelland,GM1774,Dinkelland,RE02,Oost-Nederland
Doesburg,GM0221,Doesburg,RE02,Oost-Nederland
Doetinchem,GM0222,Doetinchem,RE02,Oost-Nederland
Dongen,GM0766,Dongen,RE08,Zeeland-West-Brabant
Dordrecht,GM0505,Dordrecht,RE07,Rotterdam
Drechterland,GM0498,Drechterland,RE04,Noord-Holland
Drimmelen,GM1719,Drimmelen,RE08,Zeeland-West-Brabant
Dronten,GM0303,Dronten,RE03,Midden-Nederland
Druten,GM0225,Druten,RE02,Oost-Nederland
Duiven,GM0226,Duiven,RE02,Oost-Nederland
Echt-Susteren,GM1711,Echt-Susteren,RE10,Limburg
Edam-Volendam,GM0385,Edam-Volendam,RE04,Noord-Holland
Ede,GM0228,Ede,RE02,Oost-Nederland
Eemnes,GM0317,Eemnes,RE03,Midden-Nederland
Eemsdelta,GM1979,Eemsdelta,RE01,Noord-Nederland
Eersel,GM0770,Eersel,RE09,Oost-Brabant
Eijsden-Margraten,GM1903,Eijsden-Margraten,RE10,Limburg
Eindhoven,GM0772,Eindhoven,RE09,Oost-Brabant
